+-------------------------------+-------+---------+-----------+
| Material List for placement 'Unnamed'                       |
+-------------------------------+-------+---------+-----------+
| Item                          | Total | Missing | Available |
+-------------------------------+-------+---------+-----------+
| Hopper                        |  3171 |    2988 |         0 |
| Deepslate Bricks              |  2661 |     937 |         0 |
| Powered Rail                  |  2514 |     781 |         0 |
| Composter                     |   895 |     856 |         0 |
| Cauldron                      |   857 |      24 |         0 |
| Lava Bucket                   |   838 |       2 |         0 |
| Dripstone Block               |   836 |       1 |         0 |
| Pointed Dripstone             |   836 |       1 |         0 |
| Red Stained Glass             |   809 |      15 |         0 |
| Furnace                       |   576 |     576 |         0 |
| Deepslate Brick Slab          |   448 |     448 |         0 |
| Polished Basalt               |   345 |     267 |         0 |
| Smooth Stone                  |   337 |     329 |         0 |
| Observer                      |   332 |     285 |         0 |
| Light Gray Stained Glass      |   321 |     321 |         0 |
| Bamboo Trapdoor               |   252 |     252 |         0 |
| Deepslate Brick Stairs        |   218 |     218 |         0 |
| Redstone Dust                 |   202 |     190 |         0 |
| Rail                          |   194 |     155 |         0 |
| Chest                         |   190 |     190 |         0 |
| Gray Stained Glass            |   174 |      75 |         0 |
| Barrel                        |   168 |     157 |         0 |
| Redstone Comparator           |   166 |     154 |         0 |
| Dropper                       |   143 |     106 |         0 |
| Polished Blackstone Bricks    |   115 |       0 |         0 |
| Block of Redstone             |   109 |      65 |         0 |
| Redstone Repeater             |   108 |     104 |         0 |
| Blue Ice                      |    96 |      59 |         0 |
| Sticky Piston                 |    86 |      71 |         0 |
| Blue Stained Glass            |    82 |      82 |         0 |
| Note Block                    |    80 |      71 |         0 |
| Redstone Lamp                 |    75 |      75 |         0 |
| Activator Rail                |    72 |      68 |         0 |
| Decorated Pot                 |    61 |      61 |         0 |
| Light Blue Stained Glass      |    58 |       8 |         0 |
| Chain                         |    54 |      54 |         0 |
| Deepslate Tile Stairs         |    52 |      51 |         0 |
| Iron Bars                     |    51 |      51 |         0 |
| Light Gray Stained Glass Pane |    48 |      48 |         0 |
| Light Gray Concrete           |    47 |      47 |         0 |
| Glowstone                     |    46 |      39 |         0 |
| Black Glazed Terracotta       |    39 |      39 |         0 |
| Redstone Torch                |    39 |      39 |         0 |
| Dispenser                     |    36 |      31 |         0 |
| Packed Ice                    |    36 |       8 |         0 |
| Gray Concrete                 |    35 |      35 |         0 |
| Honey Block                   |    34 |      11 |         0 |
| Polished Deepslate Wall       |    32 |      32 |         0 |
| Resin Brick Stairs            |    30 |      30 |         0 |
| Slime Block                   |    29 |      27 |         0 |
| Grindstone                    |    26 |      26 |         0 |
| Spruce Trapdoor               |    26 |      26 |         0 |
| String                        |    26 |      25 |         0 |
| Light Blue Concrete           |    25 |      25 |         0 |
| Mud                           |    23 |      23 |         0 |
| Red Concrete                  |    23 |      23 |         0 |
| Shroomlight                   |    23 |      23 |         0 |
| Dark Oak Leaves               |    22 |      22 |         0 |
| Water Bucket                  |    21 |      13 |         0 |
| Wither Skeleton Skull         |    21 |      21 |         0 |
| Deepslate Tiles               |    20 |      20 |         0 |
| Orange Concrete               |    20 |      20 |         0 |
| Oxidized Copper Trapdoor      |    20 |      20 |         0 |
| Cherry Sign                   |    19 |      19 |         0 |
| Dark Oak Fence Gate           |    19 |      19 |         0 |
| Waxed Copper Bulb             |    19 |      19 |         0 |
| Light Gray Concrete Powder    |    18 |      18 |         0 |
| Block of Bamboo               |    16 |      16 |         0 |
| Magma Block                   |    16 |      16 |         0 |
| Orange Candle                 |    16 |      16 |         0 |
| Warped Fence Gate             |    16 |       9 |         0 |
| Lever                         |    15 |      15 |         0 |
| Resin Brick Wall              |    15 |      15 |         0 |
| Black Banner                  |    14 |      14 |         0 |
| Cyan Concrete                 |    14 |      14 |         0 |
| Piston                        |    14 |      10 |         0 |
| Red Banner                    |    14 |      14 |         0 |
| Black Concrete                |    13 |      13 |         0 |
| Light Blue Wool               |    13 |       0 |         0 |
| Target                        |    13 |      10 |         0 |
| Block of Amethyst             |    12 |      12 |         0 |
| Dark Oak Trapdoor             |    12 |      12 |         0 |
| End Rod                       |    12 |      12 |         0 |
| White Concrete                |    12 |      12 |         0 |
| Blue Concrete                 |    11 |      11 |         0 |
| Block of Gold                 |     8 |       8 |         0 |
| Crafter                       |     8 |       8 |         0 |
